Division,State,ALP_primary,LNP_primary,GRN_primary,ON_primary,IND_primary,OTH_primary,ALP_3CP,LNP_3CP,GRN_3CP,ON_3CP,IND_3CP,OTH_3CP,ALP_2CP,LNP_2CP,GRN_2CP,ON_2CP,IND_2CP,OTH_2CP,ALP_2PP,LNP_2PP,GRN_2PP,ON_2PP,IND_2PP,OTH_2PP
Adelaide,SA,39.5548,15.1246,21.4520,18.8037,0.0000,5.0649,43.2245,0.0000,24.1999,32.5756,0.0000,0.0000,64.8834,0.0000,0.0000,35.1166,0.0000,0.0000,69.0654,30.9346,0.0000,0.0000,0.0000,0.0000
Aston,VIC,30.4978,28.1245,13.7151,17.8233,3.9337,5.9057,44.4530,32.7822,0.0000,22.7649,0.0000,0.0000,50.6575,49.3425,0.0000,0.0000,0.0000,0.0000,53.4279,46.5721,0.0000,0.0000,0.0000,0.0000
Ballarat,VIC,36.8011,16.8816,16.1488,23.0055,2.5342,4.6287,51.4655,20.9803,0.0000,27.5541,0.0000,0.0000,57.4240,0.0000,0.0000,42.5760,0.0000,0.0000,60.6648,39.3352,0.0000,0.0000,0.0000,0.0000
Banks,NSW,30.7276,29.6800,13.0708,18.7298,1.7797,6.0121,42.9185,32.9722,0.0000,24.1093,0.0000,0.0000,49.5025,50.4975,0.0000,0.0000,0.0000,0.0000,52.3879,47.6121,0.0000,0.0000,0.0000,0.0000
Barker,SA,15.8866,37.9010,9.6780,24.7851,5.7770,5.9723,26.1827,43.0498,0.0000,30.7674,0.0000,0.0000,0.0000,58.4741,0.0000,41.5259,0.0000,0.0000,36.9824,63.0176,0.0000,0.0000,0.0000,0.0000
Barton,NSW,41.4201,14.2417,16.5187,21.9196,0.0000,5.8999,44.4166,0.0000,18.3885,37.1949,0.0000,0.0000,60.8743,0.0000,0.0000,39.1257,0.0000,0.0000,66.0033,33.9967,0.0000,0.0000,0.0000,0.0000
Bass,TAS,30.7345,22.1683,14.1944,22.4104,5.5037,4.7838,45.0968,27.0598,0.0000,27.6384,0.0000,0.0000,52.7818,0.0000,0.0000,47.0133,0.0000,0.0000,58.0104,41.9896,0.0000,0.0000,0.0000,0.0000
Bean,ACT,40.2542,15.3700,14.4426,4.6652,25.2680,0.0000,40.7056,17.9603,14.7917,0.0000,26.5424,0.0000,47.8324,18.4060,0.0000,0.0000,33.7616,0.0000,69.2902,30.7098,0.0000,0.0000,0.0000,0.0000
Bendigo,VIC,30.0735,26.0848,13.9291,21.3107,0.0000,8.6019,42.7574,33.3552,0.0000,23.8874,0.0000,0.0000,49.3251,50.6749,0.0000,0.0000,0.0000,0.0000,51.3989,48.6011,0.0000,0.0000,0.0000,0.0000
Bennelong,NSW,37.6133,26.3311,13.8058,15.0096,0.0000,7.2403,51.2070,29.5497,0.0000,19.2432,0.0000,0.0000,56.3856,43.6144,0.0000,0.0000,0.0000,0.0000,59.2613,40.7387,0.0000,0.0000,0.0000,0.0000
Berowra,NSW,20.5182,32.3711,14.7173,20.3429,9.0962,2.9543,39.0725,36.6013,0.0000,24.3262,0.0000,0.0000,45.4443,54.5557,0.0000,0.0000,0.0000,0.0000,48.3655,51.6345,0.0000,0.0000,0.0000,0.0000
Blair,QLD,30.1737,16.4012,12.6488,27.2447,0.0000,13.5317,41.4428,21.1176,0.0000,37.4396,0.0000,0.0000,47.4402,0.0000,0.0000,52.5598,0.0000,0.0000,55.5477,44.4523,0.0000,0.0000,0.0000,0.0000
Blaxland,NSW,40.5147,9.9905,9.2177,17.2719,18.1150,4.8901,46.7412,0.0000,0.0000,28.4531,24.8057,0.0000,67.2059,0.0000,0.0000,32.7941,0.0000,0.0000,71.9034,28.0966,0.0000,0.0000,0.0000,0.0000
Bonner,QLD,31.4302,26.9045,15.5162,19.6901,0.0000,6.4591,44.7944,31.3097,0.0000,23.8959,0.0000,0.0000,51.3090,48.6910,0.0000,0.0000,0.0000,0.0000,54.9977,45.0023,0.0000,0.0000,0.0000,0.0000
Boothby,SA,32.6463,21.6833,17.6768,15.5479,8.8089,3.6368,40.0900,34.9736,24.9365,0.0000,0.0000,0.0000,62.0564,37.9436,0.0000,0.0000,0.0000,0.0000,61.1033,38.8967,0.0000,0.0000,0.0000,0.0000
Bowman,QLD,24.9150,28.8967,13.8026,24.1710,0.0000,8.2148,36.6528,33.3891,0.0000,29.9581,0.0000,0.0000,44.8977,55.1023,0.0000,0.0000,0.0000,0.0000,47.5724,52.4276,0.0000,0.0000,0.0000,0.0000
Braddon,TAS,29.1284,23.4276,9.7745,23.3820,8.3507,5.9369,41.5092,27.0833,0.0000,31.4075,0.0000,0.0000,49.2009,0.0000,0.0000,50.7991,0.0000,0.0000,57.2007,42.7993,0.0000,0.0000,0.0000,0.0000
Bradfield,NSW,14.8517,30.7730,9.8266,13.6466,26.7789,4.1231,21.5841,42.8660,0.0000,0.0000,35.5499,0.0000,0.0000,49.8332,0.0000,0.0000,50.1668,0.0000,45.0473,54.9527,0.0000,0.0000,0.0000,0.0000
Brand,WA,40.7822,8.8844,14.4560,27.8826,0.0000,7.9948,44.3401,0.0000,17.7815,37.8783,0.0000,0.0000,60.2546,0.0000,0.0000,39.7454,0.0000,0.0000,66.9197,33.0803,0.0000,0.0000,0.0000,0.0000
Brisbane,QLD,25.8080,24.7352,29.0853,15.9775,0.0000,4.3940,29.6754,37.8942,32.4304,0.0000,0.0000,0.0000,0.0000,45.0852,54.9148,0.0000,0.0000,0.0000,58.9598,41.0402,0.0000,0.0000,0.0000,0.0000
Bruce,VIC,37.8956,13.8341,13.2350,24.0650,0.0000,10.9702,51.5447,18.3575,0.0000,30.0978,0.0000,0.0000,56.7583,0.0000,0.0000,43.2417,0.0000,0.0000,64.6163,35.3837,0.0000,0.0000,0.0000,0.0000
Bullwinkel,WA,26.9591,25.0240,12.9916,24.2902,0.0000,10.7352,38.0255,32.2037,0.0000,29.7708,0.0000,0.0000,45.7538,54.2462,0.0000,0.0000,0.0000,0.0000,50.5092,49.4908,0.0000,0.0000,0.0000,0.0000
Burt,WA,41.1269,9.1898,12.6912,25.5228,1.8962,9.5732,46.3849,0.0000,16.5586,37.0565,0.0000,0.0000,60.5890,0.0000,0.0000,39.4110,0.0000,0.0000,65.7051,34.2949,0.0000,0.0000,0.0000,0.0000
Calare,NSW,5.5029,22.7420,5.5346,24.4753,34.6520,7.0932,0.0000,28.3440,0.0000,28.4135,43.2425,0.0000,0.0000,0.0000,0.0000,50.6838,49.3162,0.0000,37.7436,62.2564,0.0000,0.0000,0.0000,0.0000
Calwell,VIC,32.0587,7.3107,11.9457,22.5905,13.5073,12.5871,44.3885,0.0000,0.0000,29.7110,25.9006,0.0000,61.6555,0.0000,0.0000,38.3445,0.0000,0.0000,64.7063,35.2937,0.0000,0.0000,0.0000,0.0000
Canberra,ACT,47.5584,9.0573,26.2156,4.4057,11.1401,1.6229,48.3001,12.0404,26.8913,0.0000,12.7682,0.0000,63.8042,0.0000,36.1958,0.0000,0.0000,0.0000,76.4178,23.5822,0.0000,0.0000,0.0000,0.0000
Canning,WA,25.0074,30.8654,10.5064,26.6213,0.0000,6.9995,35.2390,33.6339,0.0000,31.1270,0.0000,0.0000,44.0945,55.9055,0.0000,0.0000,0.0000,0.0000,43.4489,56.5511,0.0000,0.0000,0.0000,0.0000
Capricornia,QLD,24.6497,25.7705,7.8291,32.5234,0.0000,9.2273,31.8167,28.6663,0.0000,39.5170,0.0000,0.0000,39.9579,0.0000,0.0000,60.0421,0.0000,0.0000,44.0333,55.9667,0.0000,0.0000,0.0000,0.0000
Casey,VIC,18.5690,28.7821,13.4086,20.2302,10.2062,8.8039,38.3435,34.2502,0.0000,27.4062,0.0000,0.0000,45.6198,54.3802,0.0000,0.0000,0.0000,0.0000,47.0343,52.9657,0.0000,0.0000,0.0000,0.0000
Chifley,NSW,47.4549,9.7995,10.7004,22.2396,0.0000,9.8057,58.7005,0.0000,0.0000,29.0541,0.0000,12.2454,64.2680,0.0000,0.0000,35.7320,0.0000,0.0000,69.8325,30.1675,0.0000,0.0000,0.0000,0.0000
Chisholm,VIC,33.0827,27.6141,15.3286,13.3869,5.9113,4.6762,37.7491,41.9318,20.3191,0.0000,0.0000,0.0000,55.0457,44.9543,0.0000,0.0000,0.0000,0.0000,55.7009,44.2991,0.0000,0.0000,0.0000,0.0000
Clark,TAS,13.8920,2.9832,15.2978,18.7380,49.0889,0.0000,0.0000,0.0000,28.5706,19.5444,51.8850,0.0000,0.0000,0.0000,31.1232,0.0000,68.8768,0.0000,70.8874,29.1126,0.0000,0.0000,0.0000,0.0000
Cook,NSW,23.8709,38.7222,11.7673,19.7469,0.0000,5.8926,33.7060,42.7031,0.0000,23.5909,0.0000,0.0000,39.9887,60.0113,0.0000,0.0000,0.0000,0.0000,42.8058,57.1942,0.0000,0.0000,0.0000,0.0000
Cooper,VIC,36.0259,4.1661,28.1460,20.3079,0.0000,11.3541,39.4964,0.0000,35.4932,25.0104,0.0000,0.0000,58.3818,0.0000,41.6182,0.0000,0.0000,0.0000,78.5316,21.4684,0.0000,0.0000,0.0000,0.0000
Corangamite,VIC,32.1617,23.2646,16.7134,17.1482,4.2037,6.5085,38.0079,38.9028,23.0893,0.0000,0.0000,0.0000,58.3531,41.6469,0.0000,0.0000,0.0000,0.0000,58.0475,41.9525,0.0000,0.0000,0.0000,0.0000
Corio,VIC,36.4002,13.5716,17.3167,25.0991,2.9948,4.6177,39.8398,0.0000,21.9558,38.2043,0.0000,0.0000,59.4903,0.0000,0.0000,40.5097,0.0000,0.0000,63.2313,36.7687,0.0000,0.0000,0.0000,0.0000
Cowan,WA,40.6276,14.6769,12.4613,19.9600,3.3034,8.9709,53.9715,21.0458,0.0000,24.9827,0.0000,0.0000,59.9485,0.0000,0.0000,40.0515,0.0000,0.0000,63.6347,36.3653,0.0000,0.0000,0.0000,0.0000
Cowper,NSW,6.3665,27.3683,6.5006,21.4700,29.1504,9.1443,0.0000,32.7358,0.0000,26.3497,40.9145,0.0000,0.0000,51.2441,0.0000,0.0000,48.7559,0.0000,40.9236,59.0764,0.0000,0.0000,0.0000,0.0000
Cunningham,NSW,37.5052,12.1618,22.1244,25.1443,0.0000,3.0642,39.9117,0.0000,24.2270,35.8613,0.0000,0.0000,61.5949,0.0000,0.0000,38.4051,0.0000,0.0000,67.5217,32.4783,0.0000,0.0000,0.0000,0.0000
Curtin,WA,8.8600,30.5091,10.6733,15.1607,33.1825,1.6144,0.0000,33.1994,0.0000,17.1156,49.6850,0.0000,0.0000,44.8627,0.0000,0.0000,55.1373,0.0000,47.8405,52.1595,0.0000,0.0000,0.0000,0.0000
Dawson,QLD,19.5054,30.4546,8.7925,28.5359,0.0000,12.7116,27.3588,35.6119,0.0000,37.0293,0.0000,0.0000,0.0000,51.7289,0.0000,48.2711,0.0000,0.0000,38.1596,61.8404,0.0000,0.0000,0.0000,0.0000
Deakin,VIC,28.8296,28.7056,14.5634,15.9365,7.0210,4.9438,45.1173,33.8444,0.0000,21.0382,0.0000,0.0000,50.5546,49.4454,0.0000,0.0000,0.0000,0.0000,52.8228,47.1772,0.0000,0.0000,0.0000,0.0000
Dickson,QLD,27.3535,25.5019,10.8790,20.0925,9.4647,6.7084,43.9463,31.0480,0.0000,25.0057,0.0000,0.0000,50.5964,49.4036,0.0000,0.0000,0.0000,0.0000,56.0589,43.9411,0.0000,0.0000,0.0000,0.0000
Dobell,NSW,36.4253,17.8211,11.5436,26.2677,0.0000,7.9423,47.4805,21.9386,0.0000,30.5809,0.0000,0.0000,53.7111,0.0000,0.0000,46.2889,0.0000,0.0000,59.4284,40.5716,0.0000,0.0000,0.0000,0.0000
Dunkley,VIC,32.8174,20.9258,13.1549,21.8919,2.6948,8.5152,48.0871,25.2458,0.0000,26.6670,0.0000,0.0000,55.2569,0.0000,0.0000,44.7431,0.0000,0.0000,57.0793,42.9207,0.0000,0.0000,0.0000,0.0000
Durack,WA,18.5130,22.0252,10.2090,26.5688,0.0000,22.6840,29.5680,32.9466,0.0000,37.4854,0.0000,0.0000,0.0000,50.3651,0.0000,49.6349,0.0000,0.0000,39.8468,60.1532,0.0000,0.0000,0.0000,0.0000
Eden-Monaro,NSW,36.0431,21.3364,11.5189,24.2799,2.3967,4.4250,46.9352,24.5815,0.0000,28.4833,0.0000,0.0000,53.9163,0.0000,0.0000,46.0837,0.0000,0.0000,57.2146,42.7854,0.0000,0.0000,0.0000,0.0000
Fadden,QLD,19.8719,30.3018,11.3298,25.2570,3.3464,9.8931,31.9302,34.6654,0.0000,33.4044,0.0000,0.0000,0.0000,53.4754,0.0000,46.5246,0.0000,0.0000,43.1567,56.8433,0.0000,0.0000,0.0000,0.0000
Fairfax,QLD,17.4354,27.3908,12.3762,23.3868,12.7055,6.7052,34.5080,36.0667,0.0000,29.4253,0.0000,0.0000,42.3133,57.6867,0.0000,0.0000,0.0000,0.0000,46.7194,53.2806,0.0000,0.0000,0.0000,0.0000
Farrer,NSW,9.5497,32.7935,7.4175,21.8183,18.8056,9.6153,0.0000,38.4750,0.0000,29.3564,32.1686,0.0000,0.0000,52.8772,0.0000,0.0000,47.1228,0.0000,37.1142,62.8858,0.0000,0.0000,0.0000,0.0000
Fenner,ACT,53.4163,13.9681,21.0564,4.6791,0.0000,6.8801,54.0189,16.1358,21.5420,0.0000,0.0000,8.3034,56.4855,20.4261,23.0884,0.0000,0.0000,0.0000,72.0813,27.9187,0.0000,0.0000,0.0000,0.0000
Fisher,QLD,15.8510,26.6324,11.9835,22.7261,15.4114,7.3957,0.0000,36.3974,0.0000,28.3975,35.2050,0.0000,0.0000,51.5051,0.0000,0.0000,48.4949,0.0000,43.9657,56.0343,0.0000,0.0000,0.0000,0.0000
Flinders,VIC,15.7210,29.2330,8.5841,19.5252,20.9422,5.9945,0.0000,44.8591,0.0000,24.5121,30.6288,0.0000,0.0000,62.4925,0.0000,0.0000,37.5075,0.0000,45.2181,54.7819,0.0000,0.0000,0.0000,0.0000
Flynn,QLD,20.8446,25.6729,7.0602,30.9930,4.9311,10.4981,29.6931,29.4708,0.0000,40.8360,0.0000,0.0000,38.0629,0.0000,0.0000,61.9371,0.0000,0.0000,39.7365,60.2635,0.0000,0.0000,0.0000,0.0000
Forde,QLD,26.3093,20.7199,12.6545,26.9647,3.2001,10.1516,38.6879,25.9380,0.0000,35.3741,0.0000,0.0000,46.0543,0.0000,0.0000,53.9457,0.0000,0.0000,51.8004,48.1996,0.0000,0.0000,0.0000,0.0000
Forrest,WA,16.9327,21.8250,10.5606,23.7677,17.2211,9.6928,0.0000,33.5357,0.0000,28.0965,38.3679,0.0000,0.0000,50.4318,0.0000,0.0000,49.5682,0.0000,47.7644,52.2356,0.0000,0.0000,0.0000,0.0000
Fowler,NSW,31.6396,2.3389,8.1798,19.5929,32.7989,5.4498,36.9286,0.0000,0.0000,22.5912,40.4802,0.0000,43.6077,0.0000,0.0000,0.0000,56.3923,0.0000,68.1863,31.8137,0.0000,0.0000,0.0000,0.0000
Franklin,TAS,30.8404,9.0671,13.3265,18.6912,25.1649,2.9099,47.1492,0.0000,0.0000,21.5661,31.2847,0.0000,55.8958,0.0000,0.0000,0.0000,44.1042,0.0000,69.4410,30.5590,0.0000,0.0000,0.0000,0.0000
Fraser,VIC,36.9649,7.5987,25.8504,19.7183,0.0000,9.8677,41.7648,0.0000,34.5962,23.6391,0.0000,0.0000,53.3020,0.0000,46.6980,0.0000,0.0000,0.0000,72.0230,27.9770,0.0000,0.0000,0.0000,0.0000
Fremantle,WA,32.3844,8.4889,14.2909,20.2464,21.7203,2.8692,41.1589,0.0000,0.0000,23.1765,35.6646,0.0000,45.4682,0.0000,0.0000,0.0000,54.5318,0.0000,68.6821,31.3179,0.0000,0.0000,0.0000,0.0000
Gellibrand,VIC,39.9464,15.2767,18.6272,21.1857,0.0000,4.9640,43.2298,0.0000,20.9746,35.7956,0.0000,0.0000,62.0021,0.0000,0.0000,37.9979,0.0000,0.0000,65.1024,34.8976,0.0000,0.0000,0.0000,0.0000
Gilmore,NSW,31.5158,25.0408,9.7027,19.3427,7.2701,7.1278,46.2034,29.2093,0.0000,24.5873,0.0000,0.0000,52.8270,47.1730,0.0000,0.0000,0.0000,0.0000,55.1295,44.8705,0.0000,0.0000,0.0000,0.0000
Gippsland,VIC,14.5741,41.2516,10.1830,30.4271,0.0000,3.5642,22.7395,44.5999,0.0000,32.6606,0.0000,0.0000,0.0000,57.9957,0.0000,42.0043,0.0000,0.0000,30.6440,69.3560,0.0000,0.0000,0.0000,0.0000
Goldstein,VIC,7.9876,32.9129,9.7756,13.7343,32.7676,2.8220,0.0000,35.3643,0.0000,16.6465,47.9891,0.0000,0.0000,48.3643,0.0000,0.0000,51.6357,0.0000,46.0300,53.9700,0.0000,0.0000,0.0000,0.0000
Gorton,VIC,36.5024,17.4183,12.1203,23.2465,0.0000,10.7125,49.5645,22.7547,0.0000,27.6808,0.0000,0.0000,56.0268,0.0000,0.0000,43.9732,0.0000,0.0000,60.2839,39.7161,0.0000,0.0000,0.0000,0.0000
Grayndler,NSW,48.2479,3.9865,26.3952,18.0177,2.0824,1.2703,50.8047,0.0000,28.2969,20.8983,0.0000,0.0000,60.8300,0.0000,39.1700,0.0000,0.0000,0.0000,80.1755,19.8245,0.0000,0.0000,0.0000,0.0000
Greenway,NSW,43.2937,17.8310,11.8366,20.0075,2.3895,4.6417,53.3854,22.0604,0.0000,24.5542,0.0000,0.0000,59.6505,0.0000,0.0000,40.3495,0.0000,0.0000,63.7614,36.2386,0.0000,0.0000,0.0000,0.0000
Grey,SA,16.0077,25.9498,7.8416,26.1422,16.3555,7.7033,0.0000,36.0632,0.0000,30.7887,33.1481,0.0000,0.0000,52.2261,0.0000,0.0000,47.7739,0.0000,45.3579,54.6421,0.0000,0.0000,0.0000,0.0000
Griffith,QLD,27.9847,16.9053,35.3562,16.4507,0.0000,3.3032,36.7256,0.0000,37.9069,25.3674,0.0000,0.0000,48.5101,0.0000,51.4899,0.0000,0.0000,0.0000,65.9418,34.0582,0.0000,0.0000,0.0000,0.0000
Groom,QLD,10.9573,29.9965,7.3456,26.8438,19.3884,5.4684,0.0000,36.0032,0.0000,31.1649,32.8319,0.0000,0.0000,53.4071,0.0000,0.0000,46.5929,0.0000,36.6496,63.3504,0.0000,0.0000,0.0000,0.0000
Hasluck,WA,41.2388,12.9061,14.0374,22.7754,0.0000,9.0423,45.3649,0.0000,17.3243,37.3108,0.0000,0.0000,60.8702,0.0000,0.0000,39.1298,0.0000,0.0000,65.9742,34.0258,0.0000,0.0000,0.0000,0.0000
Hawke,VIC,32.2634,17.8581,11.3047,25.7052,0.0000,12.8687,43.4619,22.9338,0.0000,33.6042,0.0000,0.0000,49.9751,0.0000,0.0000,50.0249,0.0000,0.0000,57.6303,42.3697,0.0000,0.0000,0.0000,0.0000
Herbert,QLD,16.7104,37.2468,10.9324,21.3418,0.0000,13.7686,28.2595,44.5095,0.0000,27.2310,0.0000,0.0000,35.5734,64.4266,0.0000,0.0000,0.0000,0.0000,36.6257,63.3743,0.0000,0.0000,0.0000,0.0000
Hindmarsh,SA,41.5008,14.5561,15.7680,20.7631,0.0000,7.4120,45.2461,0.0000,19.1463,35.6075,0.0000,0.0000,62.3821,0.0000,0.0000,37.6179,0.0000,0.0000,66.3487,33.6513,0.0000,0.0000,0.0000,0.0000
