,3CP,,,2CP,,ALP,,,,,,,,,,,,,,,,,,,,,,,,,LNP,,,,,,,,,,,,,,,,,,,,,,,,,GRN,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,,,IND,,,,,,,,,,,,,,,,,,,,,,,,,OTH,,,,,,,,,,,,,,,,,,,,,,,,,GRN 3CP Estimate,,,,,ON 3CP Estimate,,,,,IND 3CP Estimate,,,,,OTH 3CP Estimate,,,,
,,,,,,,,,,,3CP,,,,,,,,,,2CP,,,,,,,,,,,,,,,3CP,,,,,,,,,,2CP,,,,,,,,,,,,,,,Exclusion,,,,,,,,,,2CP,,,,,,,,,,,,,,,Exclusion,,,,,,,,,,2CP,,,,,,,,,,,,,,,Exclusion,,,,,,,,,,2CP,,,,,,,,,,,,,,,Exclusion,,,,,,,,,,2CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Division,ALP,LNP,GRN,,,2025 Primary,,,,,LNP Prefs,,GRN Prefs,,ON Prefs,,IND Prefs,,OTH Prefs,,LNP Prefs,,GRN Prefs,,ON Prefs,,IND Prefs,,OTH Prefs,,2025 Primary,,,,,ALP Prefs,,GRN Prefs,,ON Prefs,,IND Prefs,,OTH Prefs,,ALP Prefs,,GRN Prefs,,ON Prefs,,IND Prefs,,OTH Prefs,,2025 Primary,,,,,ALP Prefs,,LNP Prefs,,ON Prefs,,IND Prefs,,OTH Prefs,,ALP Prefs,,LNP Prefs,,ON Prefs,,IND Prefs,,OTH Prefs,,2025 Primary,,,,,ALP Prefs,,LNP Prefs,,GRN Prefs,,IND Prefs,,OTH Prefs,,ALP Prefs,,LNP Prefs,,GRN Prefs,,IND Prefs,,OTH Prefs,,2025 Primary,,,,,ALP Prefs,,LNP Prefs,,GRN Prefs,,ON Prefs,,OTH Prefs,,ALP Prefs,,LNP Prefs,,GRN Prefs,,ON Prefs,,OTH Prefs,,2025 Primary,,,,,ALP Prefs,,LNP Prefs,,GRN Prefs,,ON Prefs,,IND Prefs,,ALP Prefs,,LNP Prefs,,GRN Prefs,,ON Prefs,,IND Prefs,,ALP,LNP,GRN,IND,OTH,ALP,LNP,GRN,IND,OTH,ALP,LNP,GRN,ON,OTH,ALP,LNP,GRN,ON,IND
,ON,IND,OTH,,,Votes,%,Votes at elim,%,Position,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes at elim,%,Position,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes at elim,%,Position,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Primary,%,Votes at elim,%,Position,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes at elim,%,Position,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes at elim,%,Position,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,,,,,,,,,,,,,,,,,,,,
Wentworth,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Sydney,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Kingsford Smith,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Bennelong,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Bradfield,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Warringah,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Banks,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Cook,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Barton,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Blaxland,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Grayndler,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Parramatta,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Reid,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Watson,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Berowra,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Mackellar,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Mitchell,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
