LABOR 2PP,,,,,,,,,COALITION 2PP,,,,,,,,,LABOR PRIMARY,,,,,,,,,COALITION PRIMARY,,,,,,,,NON-MAJOR PRIMARY,,,,,,,,GREENS PRIMARY,,,,,,,,ONE NATION PRIMARY,,,,,,,,INDEPENDENT PRIMARY,,,,,,,,OTHER PRIMARY,,,,,,
AUS,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,AUS,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,AUS,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,AUS,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,AUS,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,AUS,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,AUS,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,AUS,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,AUS,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing
Overall,,0.4964351503,0.4841753367,0.521324313,0.5518967148,0.05546156449,,,Overall,,,0.5158246633,0.478675687,0.4480776377,,,,Overall,,0.3472615674,0.332879305,0.3262653862,0.3433630199,-0.003898547528,,,Overall,0.4189189449,0.4157237068,0.3526293192,0.3144256542,-0.1044932906,,,Overall,0.2338194877,0.2513969882,0.3211052946,0.3422113259,0.1083918382,,,Overall,0.1023291749,0.105631824,0.1221835642,0.122059836,0.01973066109,,,Overall,,0.03611424826,0.04900825033,0.06418336908,,,,Overall,0.02816166245,0.03671963508,0.05216725622,0.0714340214,,,,Overall,0.0924375147,0.08131824917,0.09191064464,0.08011823296,,
Inner metro,,0.5237277979,0.5315235365,0.5917388426,0.6330723668,0.1093445688,0.05388300436,,Inner metro,,,0.4684764635,0.4082611574,0.3669283119,,,,Inner metro,,0.348583509,0.3577353402,0.3567501655,0.3809015541,0.03231804507,0.03371804507,,Inner metro,0.4044425163,0.399415198,0.3171526786,0.2828291443,-0.1216133719,-0.01712008127,,Inner metro,0.2469739747,0.2428494618,0.3260971559,0.3362693016,0.08929532685,-0.01909651133,,Inner metro,0.1450115563,0.1512723395,0.1662165395,0.1669873133,0.02197575707,0.002245095976,,Inner metro,,0.0121119485,0.02552973557,0.03641413554,,,,Inner metro,0.02674444853,0.03843209836,0.06519713387,0.08594816474,,,,Inner metro,0.07521796993,0.05676547706,0.069153747,0.04498132904,,
Outer metro,,0.5224786862,0.5056710852,0.5394874084,0.5785859461,0.05610725994,0.0006456954565,,Outer metro,,,0.4943289148,0.4605125916,0.421413841,,,,Outer metro,,0.4029552487,0.3695640796,0.3716812821,0.3865459721,-0.01640927661,-0.01500927661,,Outer metro,0.4014622564,0.4054277335,0.3457219414,0.2939621574,-0.107500099,-0.003006808381,,Outer metro,0.1955824948,0.225008187,0.2825967765,0.3194918705,0.1239093756,0.01551753746,,Outer metro,0.08590617314,0.0906089172,0.1121009079,0.1169103141,0.03100414093,0.01127347984,,Outer metro,,0.03323710663,0.04881633189,0.06082540077,,,,Outer metro,0.01394075527,0.01352311698,0.03804735603,0.05005564837,,,,Outer metro,0.09125026014,0.07544432824,0.08869959177,0.07890212762,,
Provincial,,0.5169667798,0.4918828742,0.5186376386,0.5349318257,0.01796504593,-0.03749651856,,Provincial,,,0.5081171258,0.4813623614,0.4650685708,,,,Provincial,,0.3708390277,0.3465903955,0.3381953873,0.3520446728,-0.01879435496,-0.01739435496,,Provincial,0.396697504,0.3909502036,0.3515012233,0.3260178155,-0.07067968849,0.03381360216,,Provincial,0.2324634683,0.2624594009,0.3103033895,0.3219375117,0.08947404345,-0.01891779472,,Provincial,0.08826367405,0.08982940566,0.1110197633,0.1121823776,0.02391870352,0.004188042424,,Provincial,,0.06219788442,0.06590571324,0.08014035388,,,,Provincial,0.02794647148,0.02701710955,0.03528610147,0.05075455282,,,,Provincial,0.09255136215,0.08335951184,0.09809181149,0.07886022749,,
Rural,,0.4217305924,0.3994574326,0.4197566221,0.4392002292,0.01746963673,-0.03799192775,,Rural,,,0.6005425674,0.5802433779,0.5606971405,,,,Rural,,0.2670171873,0.2530283722,0.2301785396,0.2436162423,-0.02340094499,-0.02200094499,,Rural,0.4697649712,0.4619748755,0.402780269,0.3671642279,-0.1026007433,0.001892547353,,Rural,0.2632178415,0.2849967523,0.3670411914,0.3892195298,0.1260016883,0.01760985011,,Rural,0.07989401671,0.07972919948,0.08971171494,0.08389541717,0.00400140046,-0.01572926063,,Rural,,0.05117317921,0.06578929543,0.08927559349,,,,Rural,0.04631526649,0.06757933223,0.06422781234,0.09401037332,,,,Rural,0.1139262072,0.1154034668,0.1182343184,0.1220381458,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,NSW,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,NSW,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,NSW,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,NSW,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,NSW,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,NSW,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,NSW,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,NSW,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing
Overall,,0.4947421362,0.4814768286,0.514154343,0.5527334162,0.05799127998,0.002529715493,,Overall,,,,,,,,,Overall,,0.3692552333,0.345622974,0.3303487037,0.3519519424,-0.01730329092,-0.01590329092,,Overall,0.421821498,0.4247440512,0.3543718044,0.3152822583,-0.1065392396,-0.002045948992,,Overall,0.2089232687,0.2296329748,0.3152794919,0.3327657992,0.1238425306,0.01545069238,,Overall,0.08952986949,0.08716936919,0.09915801967,0.1106372272,0.02110735773,0.001376696639,,Overall,,0.01310577629,0.04642222862,0.06022759918,,,,Overall,0.03985111083,0.04623167056,0.07314069844,0.09730535705,,,,Overall,0.07954228837,0.08312615875,0.07348385488,0.06459561579,,
Inner metro,,0.499532804,0.5084584553,0.5626377922,0.6140783991,0.1145455951,0.05908403062,,Inner metro,,,,,,,,,Inner metro,,0.3615106131,0.3593018284,0.3638511834,0.3928556527,0.03134503956,0.03274503956,,Inner metro,0.4284668026,0.4222733989,0.344884991,0.2948442811,-0.1336225215,-0.02912923082,,Inner metro,0.2100225843,0.2184247727,0.2912638256,0.3123000662,0.1022774819,-0.006114356266,,Inner metro,0.1074187703,0.1032117697,0.1164518934,0.1266627538,0.01924398345,-0.000486677642,,Inner metro,,0.004773878847,0.02727277266,0.03238718866,,,,Inner metro,0.02966675872,0.05458583238,0.09008566919,0.1161132036,,,,Inner metro,0.07293705527,0.05585329176,0.05745349035,0.03713692023,,
Outer metro,,0.4983233821,0.4745213954,0.501898876,0.55032716,0.05200377788,-0.003457786604,,Outer metro,,,,,,,,,Outer metro,,0.4075956153,0.3716152421,0.3327068334,0.3652662394,-0.04232937592,-0.04092937592,,Outer metro,0.4200695048,0.4397701571,0.3685091549,0.325092233,-0.09497727174,0.009516018912,,Outer metro,0.1723348799,0.1886146009,0.2987840117,0.3096415276,0.1373066477,0.02891480948,,Outer metro,0.06728561658,0.06623221747,0.07603675766,0.1014956122,0.03420999567,0.01447933458,,Outer metro,,0.0137407256,0.0469512678,0.05466144458,,,,Outer metro,0.0233913156,0.02565739873,0.1011998133,0.09404512067,,,,Outer metro,0.08165794776,0.08298425907,0.07459617293,0.05943935009,,
Provincial,,0.5604847374,0.5370971782,0.5643739975,0.5899312691,0.02944653173,-0.02601503275,,Provincial,,,,,,,,,Provincial,,0.4161049332,0.3894489979,0.384254523,0.3914511242,-0.02465380906,-0.02325380906,,Provincial,0.3541814229,0.3711883632,0.3268281587,0.2791190683,-0.07506235461,0.02943093604,,Provincial,0.2297136438,0.2393626389,0.2889173183,0.3294298075,0.09971616367,-0.008675674509,,Provincial,0.09290345612,0.09484066519,0.1148473891,0.1230952954,0.03019183928,0.01046117819,,Provincial,,0.01670190668,0.06251588473,0.07561731252,,,,Provincial,0.04350994635,0.0365223631,0.03391589797,0.06591661369,,,,Provincial,0.09330024137,0.09129770391,0.07763814642,0.06480058589,,
Rural,,0.431813641,0.4095130311,0.4248982867,0.450300942,0.01848730102,-0.03697426347,,Rural,,,,,,,,,Rural,,0.3022368041,0.2661694472,0.2412749552,0.2565506206,-0.04568618357,-0.04428618357,,Rural,0.4704818074,0.4564741162,0.3741966668,0.3598016708,-0.1106801365,-0.006186845862,,Rural,0.2272813885,0.2773564366,0.384528378,0.3836477086,0.1563663201,0.04797448191,,Rural,0.08717634697,0.0824025824,0.08894618856,0.0902227367,0.00304638973,-0.01668427136,,Rural,,0.0198021849,0.05632861737,0.08698273093,,,,Rural,0.06579804199,0.0648818422,0.05507491557,0.1035216831,,,,Rural,0.07430699956,0.1102698271,0.08882357279,0.1029205579,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,VIC,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,VIC,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,VIC,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,VIC,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,VIC,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,VIC,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,VIC,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,VIC,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing
Overall,,0.5183247032,0.5315316315,0.5482711155,0.5629526473,0.04462794407,-0.01083362042,,Overall,,,,,,,,,Overall,,0.3557609363,0.3686614002,0.3285370378,0.3386302099,-0.01713072643,-0.01573072643,,Overall,0.4168568436,0.3858853758,0.3297606016,0.3213873487,-0.09546949486,0.009023795787,,Overall,0.2273822201,0.245453224,0.3417023606,0.3399824414,0.1126002213,0.004208383118,,Overall,0.1312831042,0.1188803238,0.1374355287,0.1356021568,0.004319052621,-0.01541160847,,Overall,,0,0.03831858197,0.05774701129,,,,Overall,0.02720702099,0.0389915465,0.06512648164,0.07511694427,,,,Overall,0.068892095,0.08758135364,0.1008217683,0.0715163291,,
Inner metro,,0.55688735,0.5843988014,0.6193205923,0.643380568,0.08649321798,0.03103165349,,Inner metro,,,,,,,,,Inner metro,,0.3276037323,0.3650962954,0.3288448008,0.3507791155,0.02317538327,0.02457538327,,Inner metro,0.3776023289,0.3502521083,0.2866140124,0.2785236057,-0.09907872316,0.005414567483,,Inner metro,0.2947939389,0.2846515962,0.3845411868,0.3706972788,0.07590333989,-0.03248849828,,Inner metro,0.2262311943,0.1990754883,0.2049798095,0.2067822053,-0.01944898901,-0.0391796501,,Inner metro,,,0.01890211647,0.037199307,,,,Inner metro,0.01621543594,0.02707393816,0.07040850709,0.07394003852,,,,Inner metro,0.05234730865,0.08584132218,0.09025075376,0.05277572798,,
Outer metro,,0.5631992809,0.5673874541,0.5699930273,0.6002906245,0.03709134355,-0.01837022094,,Outer metro,,,,,,,,,Outer metro,,0.4461591391,0.4472270301,0.39698254,0.4074753591,-0.03868378,-0.03728378,,Outer metro,0.3807240504,0.3669020848,0.3176423772,0.2927730958,-0.08795095469,0.01654233596,,Outer metro,0.1731168105,0.1858708851,0.2853750828,0.2997515452,0.1266347347,0.01824289651,,Outer metro,0.09430109958,0.0878085978,0.116233924,0.1195053562,0.0252042566,0.005473595509,,Outer metro,,,0.04106506459,0.05286863836,,,,Outer metro,0.01165772193,0.01311351421,0.01379400206,0.04664782669,,,,Outer metro,0.06715798897,0.1137066907,0.1142820921,0.08072972395,,
Provincial,,0.532872577,0.554247574,0.5757426105,0.5653918295,0.03251925249,-0.022942312,,Provincial,,,,,,,,,Provincial,,0.3788070129,0.4181801929,0.3863756138,0.3792228355,0.000415822636,0.001815822636,,Provincial,0.4088428595,0.3679701235,0.3066926564,0.3280534228,-0.08078943674,0.02370385391,,Provincial,0.2123501276,0.2138496837,0.3069317297,0.2927237417,0.0803736141,-0.02801822407,,Provincial,0.1112181401,0.09991160199,0.1320417558,0.1312229493,0.02000480919,0.0002741480941,,Provincial,,,0.04318501482,0.07202147782,,,,Provincial,0.01090794097,0.01026255334,0.0231586993,0.01869195799,,,,Provincial,0.09022404657,0.05467889327,0.1085462598,0.07078735666,,
Rural,,0.4064971857,0.4024564911,0.4117058787,0.4136369879,0.0071398022,-0.04832176229,,Rural,,,,,,,,,Rural,,0.2579298949,0.2435352368,0.2038197422,0.2068236575,-0.05110623743,-0.04970623743,,Rural,0.5144174573,0.4676640123,0.4154292025,0.4071981139,-0.1072193434,-0.002726052742,,Rural,0.2276526478,0.2888007509,0.3807510553,0.3859782287,0.1583255808,0.04993374264,,Rural,0.07963341987,0.0640605699,0.08114850131,0.07223208449,-0.007401335374,-0.02713199647,,Rural,,,0.05663241568,0.08004031654,,,,Rural,0.06953122433,0.1126401279,0.1506752098,0.1508059694,,,,Rural,0.07848800364,0.1121000531,0.0922949285,0.08289985821,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QLD,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing
