INNER METRO,COWAN (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"COWAN
(WA)",FULL DISTRIBUTION,,,,,,,,CURTIN (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"CURTIN
(WA)",FULL DISTRIBUTION,,,,,,,,PERTH (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"PERTH
(WA)",FULL DISTRIBUTION,,,,,,,,FREMANTLE (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"FREMANTLE
(WA)",FULL DISTRIBUTION,,,,,,,,SWAN (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"SWAN
(WA)",FULL DISTRIBUTION,,,,,,,,TANGNEY (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"TANGNEY
(WA)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WA,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.4034026914,0.1457304852,0.1237312062,0.1981884057,0.0328,0.08907470278,5,0.9929274912,,True,True,True,True,True,True,IND,,ROUND 1,0.4062760825,0.1467685067,0.1246125295,0.199600079,0.03303363064,0.08970917168,,,Primary,0.08497744808,0.2926173292,0.1023694954,0.1454089479,0.3182592389,0.01548389813,6,0.9591163576,,True,True,True,True,True,True,OTH,,ROUND 1,0.08859972766,0.3050905418,0.1067331347,0.1516072025,0.3318254729,0.0161439204,,,Primary,0.3600954699,0.1507965877,0.256843455,0.210182807,0,0.012175,5,0.9900933196,,True,True,True,True,True,True,IND,,ROUND 1,0.3636985149,0.1523054289,0.2594133805,0.2122858551,0,0.01229682067,,,Primary,0.3390471948,0.08887442965,0.1496183932,0.2119686891,0.2274,0.03003853177,6,1.046947238,,True,True,True,True,True,True,OTH,,ROUND 1,0.3238436306,0.08488911989,0.1429092009,0.2024635829,0.2172029226,0.02869154306,,,Primary,0.3592024013,0.1681269943,0.1867177249,0.1966053681,0,0.07454490232,5,0.9851973909,,True,True,True,True,True,True,IND,,ROUND 1,0.3645994241,0.1706531055,0.1895231622,0.1995593674,0,0.07566494087,,,Primary,0.3535094623,0.243013365,0.1461303466,0.1784182947,0,0.05552280343,5,0.976594272,,True,True,True,True,True,True,IND,,ROUND 1,0.3619819124,0.24883759,0.1496326067,0.1826943899,0,0.05685350101,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.0328,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05997660884,-0.09488697845,0.01678132321,0.1489557129,-0.002507917708,-0.008365531096,,,Eliminated,0.01548389813,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.05972772042,-0.09772678739,0.02856363931,0.1256646122,0.009541233974,-0.006314977731,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06682195507,-0.1085911588,0.01414492544,0.1489713678,0,0.01229682067,,,Eliminated,0.03003853177,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06220356415,-0.1036353098,0.02734080767,0.1413160259,-0.01289597097,0.01007801129,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06170297723,-0.09864888878,0.01465543729,0.1473513902,0,-0.001654961455,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06305254982,-0.09377577505,0.01980226009,0.1419703672,0,-0.00494430242,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1750824664,0.10098959654909921,0.41486932250697794,0.15757421974118244,0.0,0.1514843948236488,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.03303363064,,,,,Weights,0.2039695946,0.15371621621621623,0.24873310810810811,0.14695945945945946,0.24662162162162163,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.0161439204,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1493165089,0.06046267087276551,0.277602523659306,0.18874868559411145,0.323869610935857,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.02869154306,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.005742704897,0.003312458767,0.01360771378,0.005168434408,,0.00496868815,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.003158244424,0.002380126233,0.003851358107,0.002275505299,0.003818664065,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.004485248698,0.00181620986,0.008338772227,0.005669733389,0.009728567598,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.4091453963,0.14904294393962958,0.1373389200273838,0.20335684007125462,0.0,0.0940433909305071,6,0.9929274912,,True,True,True,True,False,True,OTH,,ROUND 2,0.412059692,0.1501045598,0.1383171694,0.2048053275,,0.09471325123,,,Round 2,0.0881356925,0.29499745546516876,0.10622085349375213,0.1476844531665991,0.322077902968822,0.0,1,0.9591163576,,True,True,True,True,True,False,ALP,,ROUND 2,0.09189259656,0.3075721242,0.1107486622,0.1539797043,0.3358069127,,,,Round 2,0.3600954699,0.1507965876739244,0.2568434550302739,0.21018280698913458,0.0,0.012175000000000026,6,0.9900933196,,True,True,True,True,False,True,OTH,,ROUND 2,0.3636985149,0.1523054289,0.2594133805,0.2122858551,,0.01229682067,,,Round 2,0.3435324434,0.09069063950859317,0.15795716545159091,0.21763842244181592,0.23712856759848047,0.0,2,1.046947238,,True,True,True,True,True,False,LNP,,ROUND 2,0.3281277517,0.08662388722,0.1508740457,0.207879074,0.2264952415,,,,Round 2,0.3592024013,0.16812699430199432,0.18671772486772487,0.19660536806668172,0.0,0.07454490231990231,6,0.9851973909,,True,True,True,True,False,True,OTH,,ROUND 2,0.3645994241,0.1706531055,0.1895231622,0.1995593674,,0.07566494087,,,Round 2,0.3535094623,0.24301336504761648,0.14613034660467966,0.17841829467167647,0.0,0.05552280342550298,6,0.976594272,,True,True,True,True,False,True,OTH,,ROUND 2,0.3619819124,0.24883759,0.1496326067,0.1826943899,,0.05685350101,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.09404339093,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0881356925,,ALP,LNP+GRN+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.012175,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09069063951,,LNP,ALP+GRN+ON+IND,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.07454490232,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05552280343,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1957374083,0.2585704232431889,0.24992460038202474,0.29576756811098825,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.09471325123,,,,,Weights,0,0.11674155329082786,0.40833333333333344,0.0175,0.4574251133758388,0.0,,Calibrate,,,,,,,,,,ELIMINATED,LABOR,,,0.09189259656,,,,,Weights,0.1787609835,0.21170974783117083,0.20983574219057108,0.3996935264612169,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.01229682067,,,,,Weights,0.2117588483,0.0,0.0894056667039231,0.08347490779032078,0.6153605771616786,0.0,,Calibrate,,,,,,,,,,ELIMINATED,LIBERAL,,,0.08662388722,,,,,Weights,0.2608237926,0.19792077904987498,0.2754309777602316,0.2658244505856034,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.07566494087,,,,,Weights,0.2167954512,0.3169558244642076,0.2249599066919376,0.24128881761189677,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.05685350101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01840780961,0.0243168394,0.0235037569,0.02781498503,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,,0.01028909764,0.0359887411,0.001542374619,0.04031547913,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.002176414974,0.00257756618,0.002554750161,0.004866268685,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01920454538,,0.008108257089,0.00757039277,0.05580744427,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01944308414,0.01475398514,0.02053197533,0.0198158577,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01203709122,0.01759827594,0.01249040468,0.01339703159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.4275532059,0.17335978333575547,0.1608426769242613,0.23117182510368167,0.0,0.0,3,0.9929274912,,True,True,True,True,False,False,GRN,,ROUND 3,0.4305986184,0.1745946052,0.1619883409,0.2328184355,,,,,Round 3,0,0.3052865531080731,0.1422095945982391,0.1492268277853628,0.36239338210345134,0.0,3,0.9591163576,,False,True,True,True,True,False,GRN,,ROUND 3,,0.3182998087,0.1482714725,0.1555878248,0.3778408941,,,,Round 3,0.3622718849,0.1533741538537689,0.2593982051914441,0.2150490756737999,0.0,0.0,2,0.9900933196,,True,True,True,True,False,False,LNP,,ROUND 3,0.3658967066,0.1549087857,0.261993693,0.2172008147,,,,,Round 3,0.3627369888,0.0,0.16606542254066184,0.22520881521224095,0.2929360118696501,0.0,3,1.046947238,,True,False,True,True,True,False,GRN,,ROUND 3,0.3464711262,,0.158618712,0.215109995,0.2798001667,,,,Round 3,0.3786454854,0.18288097944334622,0.20724970020073652,0.21642122576982722,0.0,0.0,2,0.9851973909,,True,True,True,True,False,False,LNP,,ROUND 3,0.3843346409,0.1856287696,0.2103636308,0.2196729587,,,,,Round 3,0.3655465535,0.2606116409839109,0.1586207512825556,0.19181532626071385,0.0,0.0,3,0.976594272,,True,True,True,True,False,False,GRN,,ROUND 3,0.3743074928,0.2668576383,0.162422365,0.1964125039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1608426769,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1422095946,,GRN,LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1533741539,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1660654225,,GRN,ALP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1828809794,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1586207513,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.6736064169,0.2213935831496449,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1619883409,,,,,Weights,0,0.092359529930224,0.0,0.105,0.802640470069776,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1482714725,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1549087857,,,,,Weights,0.4105281168,0.0,0.0,0.10500000000000001,0.48447188324538265,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.158618712,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1856287696,,,,,Weights,0.7089600925,0.18603990746096014,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.162422365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1083446593,0.03560953657,,0.01688848108,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.01313441131,,0.01493200743,0.1141431759,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02191059341,,0.0109552967,0.1205082637,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06817452517,,,0.01743686937,0.080454028,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02612585421,,0.0130629271,0.1436921981,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1124557825,0.02950978989,,0.01665517888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.5358978651,0.2089693199033984,0.0,0.2480603061807291,0.0,0.0,2,0.9929274912,,True,True,False,True,False,False,LNP,,3CP,0.5397150042,0.2104577844,,0.2498272113,,,,,Round 4 (3CP),0,0.31842096441673423,0.0,0.16415883521817792,0.47653655796021427,0.0,4,0.9591163576,,False,True,False,True,True,False,ON,,3CP,,0.3319940922,,0.1711563294,0.4968495785,,,,Round 4 (3CP),0.3841824783,0.0,0.27035350189528473,0.33555733941604693,0.0,0.0,3,0.9900933196,,True,False,True,True,False,False,GRN,,3CP,0.3880265332,,0.2730586062,0.3389148606,,,,,Round 4 (3CP),0.430911514,0.0,0.0,0.24264568457901045,0.3733900398698648,0.0,4,1.046947238,,True,False,False,True,True,False,ON,,3CP,0.4115885674,,,0.2317649597,0.3566464729,,,,Round 4 (3CP),0.4047713397,0.0,0.22031262730383266,0.36011342390388495,0.0,0.0,3,0.9851973909,,True,False,True,True,False,False,GRN,,3CP,0.4108530366,,0.2236228286,0.3655241348,,,,,Round 4 (3CP),0.478002336,0.2901214308739055,0.0,0.20847050514538218,0.0,0.0,4,0.976594272,,True,True,False,True,False,False,ON,,3CP,0.4894584677,0.29707468,,0.2134668522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated ,0.2089693199,,LNP,ALP+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1641588352,,ON,LNP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2703535019,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2426456846,,ON,ALP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2203126273,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2084705051,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.308,0.0,0.0,0.692,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2104577844,,,,,Weights,0,0.6814413763969149,0.0,0.0,0.3185586236030851,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.1711563294,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.2730586062,,,,,Weights,0.1859380207,0.0,0.0,0.0,0.81406197934022,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2317649597,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.2236228286,,,,,Weights,0.2711862346,0.7288137654347288,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2134668522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05934728685,,,0.1496220331,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.1118646226,,,0.0522942126,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.2419663842,,,0.0283871177,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.04511705831,,,,0.1975286263,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1971798014,,,0.02313282587,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05653433131,0.1519361738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0.595245152,0.0,0.0,0.3976823392315624,0.0,0.0,2.0,0.9929274912,,True,False,False,True,False,False,ON,,2CP,0.599485015,,,0.400514985,,,,,Round 5 (2CP),0,0.4302855870355238,0.0,0.0,0.5288307705596027,0.0,2.0,0.9591163576,,False,True,False,False,True,False,LNP,,2CP,,0.4486270968,,,0.5513729032,,,,Round 5 (2CP),0.6261488625,0.0,0.0,0.3639444571150518,0.0,0.0,2.0,0.9900933196,,True,False,False,True,False,False,ON,,2CP,0.6324139857,,,0.3675860143,,,,,Round 5 (2CP),0.4760285723,0.0,0.0,0.0,0.5709186661366168,0.0,2.0,1.046947238,,True,False,False,False,True,False,ALP,,2CP,0.4546824853,,,,0.5453175147,,,,Round 5 (2CP),0.6019511411,0.0,0.0,0.38324624977078736,0.0,0.0,2.0,0.9851973909,,True,False,False,True,False,False,ON,,2CP,0.6109954682,,,0.3890045318,,,,,Round 5 (2CP),0.5345366673,0.44205760471099154,0.0,0.0,0.0,0.0,2.0,0.976594272,,True,True,False,False,False,False,LNP,,2CP,0.5473477396,0.4526522604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.03686160088,-0.3636533841,,0.400514985,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,,-0.01868125263,,,0.01868125263,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.03270891414,-0.3348771001,,0.3675860143,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.05217152434,,,,0.05217152434,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.02890453181,-0.3601139601,,0.3890045318,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.02255226039,0.02254531479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,119.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,120.0,,,,,,,,,,,,,,,,,RESULT,INDEPENDENT RETAIN,,,,,,,,,121.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,122.0,,,,,,,,,,,,,,,,,RESULT,INDEPENDENT GAIN,,,,,,,,,123.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,124.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTER METRO,BULLWINKEL (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"BULLWINKEL
(WA)",FULL DISTRIBUTION,,,,,,,,HASLUCK (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"HASLUCK
(WA)",FULL DISTRIBUTION,,,,,,,,PEARCE (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"PEARCE
(WA)",FULL DISTRIBUTION,,,,,,,,MOORE (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"MOORE
(WA)",FULL DISTRIBUTION,,,,,,,,BRAND (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"BRAND
(WA)",FULL DISTRIBUTION,,,,,,,,BURT (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"BURT
(WA)",FULL DISTRIBUTION,,,,,,,,CANNING (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"CANNING
(WA)",FULL DISTRIBUTION,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH
,Primary,0.2700853684,0.2506991592,0.1301538103,0.2433471675,0,0.1075486586,5,1.001834164,,True,True,True,True,False,True,IND,,ROUND 1,0.2695908945,0.2502401777,0.1299155239,0.242901646,0,0.1073517578,,,Primary,0.4111178201,0.1286634711,0.1399414085,0.2270519021,0,0.09014471303,5,0.9969193148,,True,True,True,True,False,True,IND,,ROUND 1,0.4123882585,0.1290610676,0.1403738562,0.2277535391,0,0.09042327869,,,Primary,0.345845792,0.1763293232,0.1349629015,0.250952978,0,0.09558001488,5,1.00367101,,True,True,True,True,False,True,IND,,ROUND 1,0.3445808325,0.1756843841,0.1344692636,0.2500350967,0,0.09523042309,,,Primary,0.2629120866,0.2274509861,0.1365193514,0.1934076251,0.16,0.04286539425,6,1.023155443,,True,True,True,True,True,False,OTH,,ROUND 1,0.2569620172,0.2223034511,0.1334297269,0.1890305391,0.1563789755,0.04189529022,,,Primary,0.4100056529,0.08931933487,0.1453339695,0.2803181674,0,0.08037619625,5,1.005353321,,True,True,True,True,False,True,IND,,ROUND 1,0.4078224485,0.08884372589,0.1445600929,0.2788255249,0,0.07994820784,,,Primary,0.4142725798,0.09256903897,0.1278385641,0.2570915306,0.0191,0.09643140611,5,1.00730312,,True,True,True,True,False,True,IND,,ROUND 1,0.4112690329,0.09189789764,0.1269117126,0.2552275731,0.01896152174,0.09573226195,,,Primary,0.2510951777,0.309914027,0.1054935646,0.2673004517,0,0.0702807262,5,1.004083947,,True,True,True,True,False,True,IND,,ROUND 1,0.2500738891,0.3086535024,0.1050644868,0.2662132508,0,0.06999487084
