INNER METRO,COWAN (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"COWAN
,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.04986947391,-0.1200598223,0.01786171363,0.1568070959,0,-0.004648242162,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0711545616,-0.09252740348,0.01570744766,0.1539709518,0,-0.005996434345,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05608995954,-0.1095449391,0.01580636204,0.1573781284,0,-0.007549591796,,,Eliminated,0.04286539425,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06815006946,-0.09214753499,0.0222603755,0.1437278818,-0.0063455488,0.0006548959761,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05078320442,-0.108100609,0.01222612344,0.1513106784,0,-0.004652988409,,,Eliminated,0.0191,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05607854692,-0.09939614133,0.01204814859,0.1560493299,-0.002823646108,-0.009799144156,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.04897128856,-0.1165355246,0.01597092218,0.1520717463,0,-0.002535855358
,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1636106195,0.24467256637168142,0.18654867256637167,0.14279646017699116,0.2623716814159292,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.04189529022,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.2423255814,0.10558139534883722,0.15813953488372096,0.12976744186046515,0.0,0.36418604651162795,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.01896152174,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.007013233706,0.01048798602,0.007996482396,0.006121026562,0.01124666556,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.004628418605,0.002016604651,0.003020465116,0.00247855814,,0.006955953488,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,
,Round 2,0.2700853684,0.2506991592142475,0.13015381028816023,0.24334716749141772,0.0,0.10754865856454941,6,1.001834164,,True,True,True,True,False,True,OTH,,ROUND 2,0.2695908945,0.2502401777,0.1299155239,0.242901646,,0.1073517578,,,Round 2,0.4111178201,0.12866347107827236,0.13994140851482456,0.22705190213022958,0.0,0.09014471303283061,6,0.9969193148,,True,True,True,True,False,True,OTH,,ROUND 2,0.4123882585,0.1290610676,0.1403738562,0.2277535391,,0.09042327869,,,Round 2,0.345845792,0.17632932319329614,0.13496290153221943,0.25095297797578886,0.0,0.09558001488383475,6,1.00367101,,True,True,True,True,False,True,OTH,,ROUND 2,0.3445808325,0.1756843841,0.1344692636,0.2500350967,,0.09523042309,,,Round 2,0.2699253203,0.2379389721001665,0.1445158338374371,0.19952865161633404,0.17124666556273263,0.0,3,1.023155443,,True,True,True,True,True,False,GRN,,ROUND 2,0.2638165316,0.2325540793,0.1412452377,0.1950130382,0.1673711132,,,,Round 2,0.4100056529,0.08931933486507523,0.14533396948599578,0.2803181673914306,0.0,0.0803761962513194,6,1.005353321,,True,True,True,True,False,True,OTH,,ROUND 2,0.4078224485,0.08884372589,0.1445600929,0.2788255249,,0.07994820784,,,Round 2,0.4189009984,0.09458564362128166,0.13085902916973888,0.25957008875893955,0.0,0.10338735959429869,2,1.00730312,,True,True,True,True,False,True,LNP,,ROUND 2,0.4158638947,0.09389988156,0.1299102789,0.2576881613,,0.1026377836,,,Round 2,0.2510951777,0.3099140269953402,0.10549356463679992,0.2673004516794358,0.0,0.07028072620147643,6,1.004083947,,True,True,True,True,False,True,OTH,,ROUND 2,0.2500738891,0.3086535024,0.1050644868,0.2662132508,,0.06999487084
,Eliminated,0.1075486586,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09014471303,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09558001488,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1445158338,,GRN,ALP+LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.08037619625,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09458564362,,LNP,ALP+GRN+ON+OTH,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0702807262,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,
,Weights,0.1573283425,0.2725464966662768,0.2085624049596444,0.36156275587788045,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.1073517578,,,,,Weights,0.2238141756,0.20015195918810377,0.24725930750027136,0.32877455769022035,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.09042327869,,,,,Weights,0.1804205515,0.2424122197976592,0.30053560801428286,0.27663162071017655,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.09523042309,,,,,Weights,0.6544578313,0.09933734939759038,0.0,0.105,0.14120481927710843,0.0,,Calibrate,,,,,,,,,,ELIMINATED,GREENS,,,0.1412452377,,,,,Weights,0.268178954,0.12665406427221174,0.327536231884058,0.2776307498424701,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.07994820784,,,,,Weights,0.1176470588,0.0,0.058823529411764705,0.6470588235294118,0.0,0.1764705882352941,,Calibrate,,,,,,,,,,ELIMINATED,LIBERAL,,,0.09389988156,,,,,Weights,0.2183561644,0.16534246575342465,0.306986301369863,0.30931506849315066,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.06999487084,,
,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01692045219,0.02931201011,0.02243060688,0.03888558938,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.02017566463,0.01804264092,0.02228911932,0.02963728816,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.017244599,0.02316976358,0.02872519789,0.02644045442,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.09457951921,0.01435581988,,0.01517416255,0.0204063322,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.02155520424,0.01017997193,0.02632611645,0.02231490363,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01112772278,,0.005563861389,0.06120247528,,0.01669158417,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.0153462298,0.01162038857,0.02157522019,0.02173888764,,
,Round 3,0.2870058206,0.280011169327173,0.1525844171685663,0.28223275687298544,0.0,0.0,3,1.001834164,,True,True,True,True,False,False,GRN,,ROUND 3,0.2864803686,0.2794985232,0.1523050647,0.2817160435,,,,,Round 3,0.4312934847,0.14670611200224282,0.16223052783413294,0.2566891902857103,0.0,0.0,2,0.9969193148,,True,True,True,True,False,False,LNP,,ROUND 3,0.43262627,0.147159464,0.1627318534,0.2574824125,,,,,Round 3,0.363090391,0.19949908676957984,0.16368809941934692,0.2773934324006069,0.0,0.0,3,1.00367101,,True,True,True,True,False,False,GRN,,ROUND 3,0.3617623579,0.1987694024,0.1630893967,0.276378843,,,,,Round 3,0.3645048395,0.2522947919795601,0.0,0.21470281416926493,0.19165299776242856,0.0,5,1.023155443,,True,True,False,True,True,False,IND,,ROUND 3,0.3562555835,0.2465850068,,0.2098437882,0.1873156215,,,,Round 3,0.4315608571,0.09949930679104574,0.1716600859393265,0.30263307102617,0.0,0.0,2,1.005353321,,True,True,True,True,False,False,LNP,,ROUND 3,0.4292628752,0.09896949135,0.1707460277,0.3010216058,,,,,Round 3,0.4300287212,0.0,0.13642289055922605,0.3207725640432983,0.0,0.12007894376276015,6,1.00730312,,True,False,True,True,False,True,OTH,,ROUND 3,0.4269109396,,0.1354338013,0.3184469082,,0.1192083509,,,Round 3,0.2664414075,0.32153441556043366,0.1270687848309792,0.2890393393181938,0.0,0.0,3,1.004083947,,True,True,True,True,False,False,GRN,,ROUND 3,0.2653577007,0.3202266269,0.1265519533,0.2878637191,,
,Eliminated,0.1525844172,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.146706112,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1636880994,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1916529978,,IND,ALP+LNP+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09949930679,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1200789438,,OTH,ALP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1270687848,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,
,Weights,0.6157019952,0.2792980048205678,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1523050647,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.147159464,,,,,Weights,0.614786442,0.2802135579937304,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1630893967,,,,,Weights,0.4012482556,0.48081475992022227,0.0,0.11793698451743596,0.0,0.0,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.1873156215,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.09896949135,,,,,Weights,0.309865276,0.0,0.2529335071707953,0.43720121686223384,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.1192083509,,,,,Weights,0.687723055,0.1273197715917202,0.0,0.18495717344753748,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1265519533,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.09394653008,0.04261652328,,0.0160213638,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.020958016,,0.010479008,0.115269088,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1006332242,0.04586762474,,0.01718725044,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.07690043103,0.09214959011,,0.02260297663,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01421418668,,0.007107093342,0.07817802676,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.03720829505,,0.03037198838,0.05249866033,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.08738813289,0.01617836866,,0.02350228328,,
,Round 4 (3CP),0.3809523507,0.32262769260906277,0.0,0.2982541206756849,0.0,0.0,4,1.001834164,,True,True,False,True,False,False,ON,,3CP,0.3802549009,0.3220370239,,0.2977080752,,,,,Round 4 (3CP),0.4522515007,0.0,0.17270953583429313,0.3719582782874725,0.0,0.0,3,0.9969193148,,True,False,True,True,False,False,GRN,,3CP,0.4536490506,,0.1732432437,0.3731077057,,,,,Round 4 (3CP),0.4637236152,0.2453667115091065,0.0,0.2945806828396383,0.0,0.0,2,1.00367101,,True,True,False,True,False,False,LNP,,3CP,0.4620275078,0.2444692625,,0.2935032297,,,,,Round 4 (3CP),0.4414052706,0.3444443820866931,0.0,0.23730579079909264,0.0,0.0,4,1.023155443,,True,True,False,True,False,False,ON,,3CP,0.4314156499,0.3366491224,,0.2319352277,,,,,Round 4 (3CP),0.4457750438,0.0,0.17876717928154404,0.38081109779056305,0.0,0.0,3,1.005353321,,True,False,True,True,False,False,GRN,,3CP,0.443401374,,0.177815277,0.378783349,,,,,Round 4 (3CP),0.4672370163,0.0,0.16679487894250566,0.37327122437590876,0.0,0.0,3,1.00730312,,True,False,True,True,False,False,GRN,,3CP,0.4638494681,,0.1655855876,0.3705649443,,,,,Round 4 (3CP),0.3538295404,0.3377127842215514,0.0,0.312541622593945,0.0,0.0,4,1.004083947,,True,True,False,True,False,False,ON,,3CP,0.3523903966,0.3363391927,,0.3112704107,,
,Eliminated ,0.2982541207,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1727095358,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2453667115,,LNP,ALP+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2373057908,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1787671793,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1667948789,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.3125416226,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,
,Weights,0.2595933884,0.7404066116399778,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2977080752,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1732432437,,,,,Weights,0.308,0.0,0.0,0.692,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2444692625,,,,,Weights,0.2604526333,0.7395473666904835,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2319352277,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.177815277,,,,,Weights,0.8578073623,0.0,0.0,0.14219263774159918,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1655855876,,,,,Weights,0.2748347812,0.7251652188302697,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.3112704107,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.07742479778,0.2208293229,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1545750346,,,0.01813450126,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06968414607,,,0.1756825654,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06180691811,0.1754988727,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1599966255,,,0.01877055382,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1430778751,,,0.0237170038,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.08891664951,0.2236249731,,,,
,Round 5 (2CP),0.4583771485,0.5434570155062077,0.0,0.0,0.0,0.0,2.0,1.001834164,,True,True,False,False,False,False,ALP,,2CP,0.4575379488,0.5424620512,,,,,,,Round 5 (2CP),0.6068265353,0.0,0.0,0.3900927795500733,0.0,0.0,2.0,0.9969193148,,True,False,False,True,False,False,ON,,2CP,0.6087017537,,,0.3912982463,,,,,Round 5 (2CP),0.5334077613,0.0,0.0,0.47026324828015853,0.0,0.0,2.0,1.00367101,,True,False,False,True,False,False,ON,,2CP,0.5314567784,,,0.4685432216,,,,,Round 5 (2CP),0.5032121887,0.5199432547725649,0.0,0.0,0.0,0.0,2.0,1.023155443,,True,True,False,False,False,False,ALP,,2CP,0.4918237907,0.5081762093,,,,,,,Round 5 (2CP),0.6057716693,0.0,0.0,0.39958165161512516,0.0,0.0,2.0,1.005353321,,True,False,False,True,False,False,ON,,2CP,0.6025460469,,,0.3974539531,,,,,Round 5 (2CP),0.6103148914,0.0,0.0,0.3969882281745344,0.0,0.0,2.0,1.00730312,,True,False,False,True,False,False,ON,,2CP,0.6058900042,,,0.3941099958,,,,,Round 5 (2CP),0.4427461899,0.5613377573082652,0.0,0.0,0.0,0.0,2.0,1.004083947,,True,True,False,False,False,False,ALP,,2CP,0.4409453922,0.5590546078,,,,
,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.04756205115,0.04755453759,,,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.05099824626,-0.3402580821,,0.3912982463,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.03294322162,-0.4356376092,,0.4685432216,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.03707620929,0.03703793323,,,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.06665395307,-0.3308029384,,0.3974539531,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.05120999575,-0.3429492051,,0.3941099958,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,0.006445392199,-0.006456535105,,,,
,,125.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL GAIN,,,,,,,,,126.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,127.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,128.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL GAIN,,,,,,,,,129.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,130.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,131.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL RETAIN,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
