,,,,,,,,,,,,,,,,,,,,,,,,,,2028 FEDERAL ELECTION PROJECTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEATS PROJECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST PREFERENCE,,,,,,,TWO-PARTY-PREFERRED,,,,,,,THREE-PARTY-PREFERRED,,,,,,,TWO-PARTY-PREFERRED,,,,,SEATS,,,,,,,,,,,,150,OUT OF,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,SEATS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,NATIONAL,,,GRN,ALP,OTH,IND,LNP,ON,,ALP,,SWING,,LNP,,,ALP,,ON,,LNP,,,ALP,,ON,,,ALP,,GRN,,IND,,OTH,,ON,,LNP,,NATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,,GRN,IND,OTH,ON,LNP
,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.28,0.07,0.07,0.215,0.225,,0.5449932348,,-0.007806765222,,0.4550067652,,,0.4630347203,,0.2538425345,,0.2831227452,,,0.5434415799,,0.4565584201,,,76,-18,6,+5,12,+2,2,-,12,+12,42,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-94,0,-13,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,-0.0656,-0.0088,-0.0014,-0.1032,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543767,,,,0.453983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP v GRN,,PRIMARY,,,,,,,,,,,,2CP,,ALP v GRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LABOR MAJORITY,,,,,,,,,,,,,,,,LNP v GRN,,PRIMARY,,,,,,,,,,,,2CP,,LNP v GRN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,ALP,GRN,SWING,,RESULT,,,,STATE PRIMARIES,,,GRN,ALP,OTH,IND,LNP,ON,,ALP,,SWING,,LNP,,,ALP,,ON,,LNP,,,ALP,,ON,,,ALP,,GRN,,IND,,OTH,,ON,,LNP,,STATE 2PP,,,,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,LNP,GRN,SWING,,RESULT,,,,,,,,,,,,
,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,NSW,,,0.126125,0.28685,0.058125,0.0935,0.2146,0.2216,,0.5085438631,,-0.04415613688,,0.4914561369,,,0.460274446,,0.255889148,,0.283836406,,,0.5408839853,,0.4591160147,,,25,-3,1,+1,5,-1,0,-,2,+2,13,+1,NSW,,,,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,,,,,,
,Griffith (QLD),,0.279846983,-0.06523130657,0.1690529534,-0.09671025511,0.3535616236,0.0370246764,0.1645066521,0.1399301481,0,0,0.03303178796,-0.01501326286,0.4851013441,0.5148986559,-0.1207039851,,GREENS GAIN,,,,,,,0.015125,-0.06515,-0.006575,-0.0038,-0.1004,0.1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan (QLD),,0.2156602123,-0.06673332353,0.2531000128,-0.09297874076,0.3237100619,0.03388384548,0.1545661359,0.1320747864,0,0,0.05296357721,-0.006246567576,0.4555442159,0.5444557841,0.01177711943,,GREENS RETAIN,,,,,,,,,,,,
,Melbourne (VIC),,0.2482680584,-0.06514011825,0.08764348306,-0.1100722217,0.4429138143,0.04827256976,0.143705398,0.1186869266,0.04870487064,-0.0007471447976,0.02876437556,0.008999988398,0.4793498645,0.5206501355,-0.05080981044,,GREENS GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brisbane (QLD),,0.2580797371,-0.06344267922,0.2473523745,-0.09533578296,0.2908531109,0.03203329964,0.1597752494,0.1345100004,0,0,0.04393952798,-0.007764837902,0.4508515527,0.5491484473,-0.5895977245,,GREENS GAIN,,,,,,,,,,,,
,Wills (VIC),,0.3051282385,-0.05075301597,0.02468665983,-0.1039421557,0.3748755914,0.02113496237,0.1773328169,0.1423358684,0,0,0.1179766933,-0.008775659101,0.4678215567,0.5321784433,-0.04646597936,,GREENS GAIN,,,,VIC,,,0.154125,0.2766,0.066275,0.07485,0.21135,0.2176,,0.5453825343,,-0.01761746571,,0.4546174657,,,0.477856256,,0.2451105048,,0.2770332392,,,0.556533696,,0.443466304,,,22,-5,2,+2,4,+2,0,-,1,+1,9,-,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fraser (VIC),,0.3696488377,-0.05639822789,0.0759874046,-0.09266902016,0.2585036126,0.005672510993,0.1971831603,0.1494010505,0,0,0.0986769847,-0.006006313433,0.5330195128,0.4669804872,-0.05924601987,,LABOR RETAIN,,,,,,,0.018125,-0.0634,-0.002625,-0.00025,-0.11065,0.1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cooper (VIC),,0.3602591658,-0.0593958079,0.04166089306,-0.1096599108,0.2814602259,0.02935493343,0.2030791389,0.150246986,0,0,0.1135405763,-0.01054620077,0.5838182401,0.4161817599,-0.01334124161,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP v IND,,PRIMARY,,,,,,,,,,,,2CP,,LNP v IND,,,,,,,,,,,,,,
,Newcastle (NSW),,0.3948642108,-0.05822355454,0.09209283975,-0.09853025522,0.2379348245,0.01569515554,0.2113595833,0.1578894264,0,-0.008202020948,0.06374854171,-0.008628751258,0.585974191,0.414025809,-0.07207173293,,LABOR RETAIN,,,,QLD,,,0.138625,0.24035,0.096975,0.03515,0.24785,0.24185,,0.4822058294,,-0.01199417061,,0.5177941706,,,0.400624827,,0.2881990195,,0.3111761535,,,0.4889988546,,0.5110011454,,,6,-6,3,+2,0,-,1,-,8,+8,12,-4,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grayndler (NSW),,0.4824787883,-0.05292047937,0.03986540688,-0.1032378237,0.2639524041,0.01280249154,0.1801766459,0.1485653254,0.02082425163,-0.002318301449,0.01270250319,-0.002891212422,0.6082995523,0.3917004477,-0.06034526452,,LABOR RETAIN,,,,,,,0.020625,-0.06965,-0.011125,-0.00175,-0.10115,0.16385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,LNP,IND,SWING,,RESULT,,,,,,,,,,,,
,Sydney (NSW),,0.4956234404,-0.05592482577,0.06947668108,-0.1063757744,0.2440125123,0.02804779472,0.1712912194,0.1368107114,0,0,0.01959614681,-0.002557905904,0.6356002327,0.3643997673,-0.07386092774,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,,,,,,
,Canberra (ACT),,0.4755839684,-0.007612862573,0.09057294858,-0.09251146874,0.2621562829,0.06405125636,0.04405684186,0.04405684186,0.1114005341,0.002337850062,0.0162294242,-0.01032161697,0.6380423427,0.3619576573,-0.05716669324,,LABOR RETAIN,,,,WA,,,0.139125,0.29835,0.08475,0.054625,0.21035,0.2136,,0.5340884647,,-0.02431153528,,0.4659115353,,,0.4564534484,,0.2742591402,,0.2692874113,,,0.5329310732,,0.4670689268,,,8,-3,0,-,2,+1,0,-,0,-,6,+2,WA,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.019125,-0.05765,-0.02255,-0.007075,-0.10465,0.1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SA,,,0.150375,0.31285,0.09145,0.034175,0.18885,0.2231,,0.5596862638,,-0.03221373625,,0.4403137362,,,0.4826502028,,0.2684723715,,0.2488774257,,,0.5533313917,,0.4466686083,,,7,-,0,-,0,-,1,-,0,-,2,-,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP v IND,,PRIMARY,,,,,,,,,,,,2CP,,ALP v IND,,,,,,,,,0.016375,-0.07015,-0.01195,0.000575,-0.09515,0.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,ALP,IND,SWING,,RESULT,,,,TAS,,,0.131125,0.2821,0.049375,0.16475,0.1531,0.22035,,0.549286755,,-0.08411324499,,0.450713245,,,0.4586030687,,0.3028937893,,0.238503142,,,0.526337961,,0.473662039,,,3,-1,0,-,1,-,0,-,1,+1,0,-,TAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,0.020125,-0.0839,0.011875,-0.01475,-0.0919,0.15935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fremantle (WA),,0.3238436306,-0.06220356415,0.08488911989,-0.1036353098,0.1429092009,0.02734080767,0.2024635829,0.1413160259,0.2172029226,-0.01289597097,0.02869154306,0.01007801129,0.4546824853,0.5453175147,-0.05217152434,,INDEPENDENT GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Franklin (TAS),,0.3084040173,-0.08188135321,0.0906709519,-0.09769712636,0.1332649294,0.02842854005,0.1869121357,0.1373057953,0.2516492368,-0.01525458473,0.02909872893,0.02909872893,0.5589576937,0.4410423063,-0.01883258118,,LABOR RETAIN,,,,ACT,,,0.177875,0.40785,0.085525,0.0466,0.11235,0.1706,,0.6475967755,,-0.07730322446,,0.3524032245,,,0.5758390024,,0.2505538022,,0.1736071955,,,0.687009296,,0.312990704,,,3,-,0,-,0,-,0,-,0,-,0,-,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fowler (NSW),,0.3163964924,-0.05921950965,0.02338861652,-0.09931684304,0.08179830916,0.01414030059,0.1959294969,0.1546654284,0.3279886004,-0.006729168469,0.0544984846,-0.003540207858,0.4360765175,0.5639234825,0.03716370714,,INDEPENDENT RETAIN,,,,,,,0.026875,-0.06715,-0.032475,0.0026,-0.09965,0.1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Watson (NSW),,0.4297681109,-0.05026424292,0.06635053209,-0.08557983467,0.1014935863,0.01217036152,0.1697788976,0.1374974672,0.1556294862,0.008229486217,0.07697938691,-0.009325753489,0.6361778939,0.3638221061,-0.02899582699,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,NT,,,0.126875,0.31985,0.0404,0.063725,0.2141,0.23585,,0.53195898,,-0.00318544205,,0.4606854421,,,0.4699280603,,0.2612642144,,0.2688077253,,,0.5462694543,,0.4537305457,,,2,-,0,-,0,-,0,-,0,-,0,-,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.024875,-0.06015,0.0149,-0.013775,-0.1239,0.15885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ALP v LNP,,PRIMARY,,,,,,,,,,,,2CP,,ALP v LNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP v ON,,PRIMARY,,,,,,,,,,,,2CP,,ALP v ON,,,,,,,,DIVISION,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,ALP,LNP,SWING,,RESULT,,,,,,,,,,,,,,,,,,,,,,,,LNP v ON,,PRIMARY,,,,,,,,,,,,2CP,,LNP v ON,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,ALP,ON,SWING,,RESULT,,,,,,,Hughes (NSW),,0.3078109977,-0.08214779984,0.2668775709,-0.09764758293,0.1220148902,0.007858524151,0.1941301299,0.1405872233,0,0,0.1091664113,0.03134963529,0.495591201,0.504408799,-0.0349749519,,LIBERAL GAIN,,,,,,,,,,,,,,,,,,,,,,,,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,LNP,ON,SWING,,RESULT,,,,,,,,,,,,
,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,Banks (NSW),,0.3072755819,-0.05699388793,0.2968002748,-0.09419381226,0.1307081517,0.01188266017,0.1872983,0.1502436681,0.01779719048,-0.002367564153,0.0601205012,-0.008571063966,0.4950245848,0.5049754152,-0.02885472992,,LIBERAL GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,,,,,,
,Hawke (VIC),,0.3226337183,-0.06862204904,0.1785807203,-0.1236915472,0.1130469117,0.01500901812,0.2570516277,0.1603911578,0,0,0.128687022,0.01691342035,0.4997511701,0.5002488299,-0.07655136226,,ONE NATION GAIN,,,,,,,Deakin (VIC),,0.2882964019,-0.05953533125,0.2870563379,-0.1002102347,0.145634344,0.02652467961,0.1593649581,0.1330202344,0.0702099813,-0.001292178746,0.04943797685,0.001492830668,0.5055458185,0.4944541815,-0.02268190799,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,Wide Bay (QLD),,0.1832342119,-0.07622941297,0.28276073,-0.1078094183,0.1041668639,0.01769801605,0.2874956823,0.167034845,0.04486242,-0.00365679266,0.09748009191,0.002962762935,0.5008142045,0.4991857955,-0.07328224408,,LIBERAL-NATIONAL RETAIN,,,,,,,,,,,,
,Braddon (TAS),,0.2912839801,-0.1039458435,0.2342757029,-0.08239987169,0.09774481695,0.01332472074,0.2338195701,0.1575368336,0.08350716822,0.001011176775,0.05936876173,0.01447298407,0.4920085028,0.5079914972,-0.07999844536,,ONE NATION GAIN,,,,,,,Menzies (VIC),,0.2887814234,-0.05858218806,0.3041757781,-0.1022301435,0.1368281398,0.02718727348,0.1445331103,0.1248675707,0.06305641145,-0.000609859229,0.06262513698,0.009367346616,0.4943316445,0.5056683555,-0.01644236625,,LIBERAL GAIN,,,,,,,,,,,,,,,,,,,,,,,,Durack (WA),,0.1851298054,-0.04886896677,0.2202522225,-0.1085261136,0.1020902704,0.02028221693,0.2656878476,0.164871586,0,0,0.226839854,-0.02775872264,0.503650526,0.496349474,-0.09788195393,,LIBERAL RETAIN,,,,,,,,,,,,
,Hunter (NSW),,0.3613316554,-0.07371025303,0.08439392457,-0.0972988901,0.09481731974,0.02061787852,0.3301833567,0.1688985225,0,0,0.1292737436,-0.01850725791,0.5089829267,0.4910170733,-0.08137096688,,LABOR RETAIN,,,,,,,Dickson (QLD),,0.273535274,-0.06272159281,0.2550188634,-0.09190290211,0.1087899385,0.03244025111,0.2009248355,0.1589756027,0.09464721234,-0.02729823187,0.06708387622,-0.009493126999,0.5059640293,0.4940359707,-0.05462509739,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,O'Connor (WA),,0.1626673423,-0.04789787376,0.2544335189,-0.09003966856,0.1190493515,0.0190403624,0.2725711383,0.162174718,0,0,0.191278649,-0.04327753803,0.5091271463,0.4908728537,-0.1235073659,,LIBERAL RETAIN,,,,,,,,,,,,
,Whitlam (NSW),,0.3279565415,-0.05835470297,0.1700559314,-0.1126840152,0.134185308,0.01006806986,0.2350377705,0.1583884237,0.08114217248,0.03314217248,0.05162227613,0.007081678235,0.5188296717,0.4811703283,-0.04363145023,,LABOR RETAIN,,,,,,,Aston (VIC),,0.3049778638,-0.06758811314,0.2812448338,-0.09547229605,0.1371512064,0.0218201611,0.1782327895,0.1442042594,0.03933677143,-0.00202000014,0.05905653504,-0.0009440111682,0.5065747047,0.4934252953,-0.02770416905,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,Hinkler (QLD),,0.2285999596,-0.0832412676,0.27399191,-0.1060554439,0.08546454113,0.0123127617,0.2938446951,0.1613268003,0.02389963339,-0.005372048408,0.09419926072,0.02102919792,0.4883032955,0.5116967045,-0.0747149239,,ONE NATION GAIN,,,,,,,,,,,,
,McEwen (VIC),,0.312544837,-0.06098196027,0.2127623788,-0.1124557938,0.1361016494,0.02508930935,0.2294093658,0.163752076,0,0,0.109181769,-0.01540363131,0.5243782997,0.4756217003,-0.02216678294,,LABOR RETAIN,,,,,,,Bendigo (VIC),,0.3007351758,-0.03477417075,0.2608475905,-0.141367816,0.1392914461,0.02599806886,0.2131072082,0.1637529777,0,-0.01051427071,0.08601857939,-0.003094789021,0.493251406,0.506748594,-0.02073792026,,NATIONAL GAIN,,,,,,,,,,,,,,,,,,,,,,,,Dawson (QLD),,0.1950537817,-0.06705167386,0.3045459576,-0.112259502,0.08792545041,0.01740507831,0.2853593078,0.1811833319,0,0,0.1271155024,-0.0192772343,0.5172892455,0.4827107545,-0.101114703,,LIBERAL-NATIONAL RETAIN,,,,,,,,,,,,
,Blair (QLD),,0.3017367187,-0.06785345016,0.164011766,-0.1103912648,0.1264877037,0.02203211718,0.2724470139,0.1745242165,0,0,0.1353167976,-0.01831161871,0.4744021703,0.5255978297,-0.08107475785,,ONE NATION GAIN,,,,,,,Moore (WA),,0.2569620172,-0.06815006946,0.2223034511,-0.09214753499,0.1334297269,0.0222603755,0.1890305391,0.1437278818,0.1563789755,-0.0063455488,0.04189529022,0.0006548959761,0.4918237907,0.5081762093,-0.03707620929,,LIBERAL GAIN,,,,,,,,,,,,,,,,,,,,,,,,Parkes (NSW),,0.1339167436,-0.06277112049,0.3052054368,-0.09438650499,0.07452060939,0.01346442512,0.3086957505,0.1721678681,0.02557177934,0.0008117995536,0.1520896804,-0.02928646729,0.4814992093,0.5185007907,-0.1481975119,,ONE NATION GAIN,,,,,,,,,,,,
,Bass (TAS),,0.3073451262,-0.08898696868,0.2216831619,-0.09274262802,0.1419439974,0.01303654709,0.2241036558,0.1593077232,0.05503746586,0.001234074512,0.04783785035,0.006102509397,0.5278183558,0.4701329016,-0.0522861222,,LABOR RETAIN,,,,,,,Solomon (NT),,0.2740120724,-0.05445957233,0.2144831792,-0.1454369938,0.1270850778,0.02452396023,0.2232770419,0.1562056964,0.1294728463,-0.006798565647,0.03166978245,0.02596547512,0.5103674985,0.4896325015,-0.002737440801,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,Fadden (QLD),,0.1987191999,-0.07529988427,0.3030183917,-0.1065470521,0.1132981428,0.02029179637,0.2525695292,0.1726959194,0.03346392288,0.005430063222,0.09893081352,-0.01657084266,0.5347542738,0.4652457262,-0.4315670416,,LIBERAL-NATIONAL RETAIN,,,,,,,,,,,,
,Pearce (WA),,0.3445808325,-0.05608995954,0.1756843841,-0.1095449391,0.1344692636,0.01580636204,0.2500350967,0.1573781284,0,0,0.09523042309,-0.007549591796,0.5314567784,0.4685432216,-0.03294322162,,LABOR RETAIN,,,,,,,Bonner (QLD),,0.3143019923,-0.08076995092,0.2690446514,-0.08568664637,0.1551615193,0.03091071714,0.1969007159,0.1587193747,0,0,0.06459112112,-0.02317349454,0.5130903524,0.4869096476,-0.03688644017,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,Hume (NSW),,0.201167675,-0.0710130483,0.3180374476,-0.1204496888,0.09449046325,0.009487396907,0.2430737892,0.1629768726,0.04134750522,-0.003240146969,0.1018831198,0.02223861455,0.5436201161,0.4563798839,-0.03694429223,,LIBERAL RETAIN,,,,,,,,,,,,
,Paterson (NSW),,0.3075116616,-0.06312787329,0.1794591402,-0.09285834585,0.09081954243,0.0152105492,0.2370976568,0.1611666883,0.1144942959,0.01729429592,0.07061770309,-0.01396060129,0.531524044,0.468475956,-0.03736946496,,LABOR RETAIN,,,,,,,Petrie (QLD),,0.2875359213,-0.07668423074,0.2797330281,-0.09868330182,0.1350348268,0.0168589243,0.2295880997,0.1623917164,0,0,0.0681081241,-0.003883108175,0.4796220922,0.5203779078,-0.0315516183,,LIBERAL-NATIONAL GAIN,,,,,,,,,,,,,,,,,,,,,,,,Wright (QLD),,0.1820550061,-0.07211804165,0.2484409202,-0.09215335946,0.1169752473,0.02168174368,0.3290021311,0.1664607428,0,0,0.1235266952,-0.0238710854,0.4498949543,0.5501050457,-0.1298314341,,ONE NATION GAIN,,,,,,,,,,,,
,Dobell (NSW),,0.3642534713,-0.06375855655,0.1782105786,-0.09983093859,0.1154357329,0.01249356108,0.2626774344,0.1752727915,0,0,0.07942278291,-0.02417685742,0.5371108477,0.4628891523,-0.05717304334,,LABOR RETAIN,,,,,,,Gilmore (NSW),,0.3151584654,-0.06611894268,0.2504079357,-0.09399518718,0.09702722032,0.02560186486,0.1934270911,0.1433879206,0.07270139732,-0.002677025599,0.07127789018,-0.006198630044,0.5282701596,0.4717298404,-0.02302516791,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,Mallee (VIC),,0.0999086829,-0.07820095759,0.3125802023,-0.1505390077,0.08378089476,-0.001311340909,0.2375193452,0.135004317,0.1245053007,0.1245053007,0.1417055741,-0.02945831154,0.550831271,0.449168729,-0.1419471208,,NATIONAL RETAIN,,,,,,,,,,,,
,Eden-Monaro (NSW),,0.3604308134,-0.06994420525,0.2133638703,-0.1054580332,0.1151890164,0.01490700536,0.2427994951,0.1732212044,0.02396671952,0.0006667195157,0.04425008524,0.002527389889,0.539163183,0.460836817,-0.03298308919,,LABOR RETAIN,,,,,,,Bullwinkel (WA),,0.2695908945,-0.04986947391,0.2502401777,-0.1200598223,0.1299155239,0.01786171363,0.242901646,0.1568070959,0,0,0.1073517578,-0.004648242162,0.4575379488,0.5424620512,-0.04756205115,,LIBERAL GAIN,,,,,,,,,,,,,,,,,,,,,,,,Maranoa (QLD),,0.09668037542,-0.06378109847,0.4216863758,-0.1100834605,0.06784274343,0.01633128336,0.2963083236,0.1732827419,0,0,0.1174821817,-0.01574946628,0.556907946,0.443092054,-0.1440655715,,LIBERAL-NATIONAL RETAIN,,,,,,,,,,,,
