Election,Seat,Geography,Eliminated,AliveSet,Recipient,PrefVotes,PrefShare,SourceBank,Notes,,,,ALP ,,,,,LNP,,,,,GRN,,,,,ON,,,,,IND,,,,,OTH,,,,
FED_2025,Wentworth,InnerMetro,OTH,ALP+GRN+IND+LNP+ON,ALP,125,0.09279881218,6.0,First round,,Rows,,ALP -> LNP,ALP -> GRN,ALP -> ON,ALP -> IND,ALP -> OTH,LNP -> ALP,LNP -> GRN,LNP -> ON,LNP -> IND,LNP -> OTH,GRN -> ALP,GRN -> LNP,GRN -> ON,GRN -> IND,GRN -> OTH,ON -> ALP,ON -> LNP,ON -> GRN,ON -> IND,ON  -> OTH,IND -> ALP,IND -> LNP,IND -> GRN,IND -> ON,IND -> OTH,OTH -> ALP,OTH -> LNP,OTH -> GRN,OTH -> ON,OTH -> IND
FED_2025,Wentworth,InnerMetro,OTH,ALP+GRN+IND+LNP+ON,LNP,241,0.1789161099,6.0,First round,,5.0,Wentworth*,K,M,O,Q,S,Y,AA,AC,AE,AG,AM,AO,AQ,AS,AU,BA,BC,BE,BG,BI,BO,BQ,BS,BU,BW,CC,CE,CG,CI,CK
FED_2025,Wentworth,InnerMetro,OTH,ALP+GRN+IND+LNP+ON,GRN,378,0.280623608,6.0,First round,,6,Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,OTH,ALP+GRN+IND+LNP+ON,ON,192,0.1425389755,6.0,First round,,7,Kingsford Smith,LNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,OTH,ALP+GRN+IND+LNP+ON,IND,411,0.3051224944,6.0,First round,,8,Bennelong,LNP -> ALP,LNP -> GRN,LNP -> ON,LNP -> IND,LNP -> OTH,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,ON,ALP+GRN+IND+LNP,ALP,198,0.07028753994,5.0,Second round,,9,Bradfield*,Y,AA,AC,AE,AG,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,ON,ALP+GRN+IND+LNP,LNP,1892,0.6716364927,5.0,Second round,,10,Warringah*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,ON,ALP+GRN+IND+LNP,GRN,225,0.07987220447,5.0,Second round,,11,Banks,GRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,ON,ALP+GRN+IND+LNP,IND,502,0.1782037629,5.0,Second round,,12,Cook,GRN -> ALP,GRN -> LNP,GRN -> ON,GRN -> IND,GRN -> OTH,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,GRN,ALP+IND+LNP,ALP,4200,0.3546099291,4.0,Third round,,13,Barton,AM,AO,AQ,AS,AU,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,GRN,ALP+IND+LNP,LNP,752,0.06349206349,4.0,Third round,,14,Blaxland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,GRN,ALP+IND+LNP,IND,6892,0.5818980074,4.0,Third round,,15,Grayndler,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,ALP,IND+LNP,LNP,2962,0.1534556005,3.0,Fourth round,,16,Parramatta*,ON -> ALP,ON -> LNP,ON -> GRN,ON -> IND,ON  -> OTH,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Wentworth,InnerMetro,ALP,IND+LNP,IND,16340,0.8465443995,3.0,Fourth round,,17,Reid,BA,BC,BE,BG,BI,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Sydney,InnerMetro,OTH,ALP+GRN+LNP+ON,ALP,492,0.2070707071,,,,18,Watson*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Sydney,InnerMetro,OTH,ALP+GRN+LNP+ON,LNP,241,0.1789161099,,,,19,Berowra*,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Sydney,InnerMetro,OTH,ALP+GRN+LNP+ON,GRN,1547,0.6510942761,,,,20,Mackellar*,IND -> ALP,IND -> LNP,IND -> GRN,IND -> ON,IND -> OTH,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Sydney,InnerMetro,OTH,ALP+GRN+LNP+ON,ON,177,0.07449494949,,,,21,Mitchell,BO,BQ,BS,BU,BW,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Sydney,InnerMetro,ON,ALP+GRN+LNP,ALP,591,0.152516129,,,,22,Chifley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Sydney,InnerMetro,ON,ALP+GRN+LNP,LNP,2745,0.7083870968,,,,23,Fowler,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Sydney,InnerMetro,ON,ALP+GRN+LNP,GRN,539,0.1390967742,,,,24,Greenway,OTH -> ALP,OTH -> LNP,OTH -> GRN,OTH -> ON,OTH -> IND,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Sydney,InnerMetro,LNP,ALP+GRN,ALP,15853,0.7283712382,,,,25,Lindsay,CC,CE,CG,CI,CK,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Sydney,InnerMetro,LNP,ALP+GRN,GRN,5912,0.2716287618,,,,26,McMahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,IND,ALP+GRN+LNP+ON,ALP,1009,,,,,27,Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,IND,ALP+GRN+LNP+ON,LNP,625,,,,,28,Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,IND,ALP+GRN+LNP+ON,GRN,1348,,,,,29,Macarthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,IND,ALP+GRN+LNP+ON,ON,575,,,,,30,Werriwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,ON,ALP+GRN+LNP,ALP,1654,,,,,31,Dobell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,ON,ALP+GRN+LNP,LNP,,,,,,32,Newcastle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,ON,ALP+GRN+LNP,GRN,,,,,,33,Paterson*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,GRN,ALP+LNP,ALP,,,,,,34,Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,GRN,ALP+LNP,LNP,,,,,,35,Shortland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,36,Macquarie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,37,Cowper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,38,Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,39,Whitlam*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,40,Calare*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,41,Eden-Monaro*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,42,Gilmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,43,Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,44,Lyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,45,New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,46,Page*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,47,Parkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,48,Richmond*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49,Farrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,50,Riverina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,51,Chisholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,52,Goldstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,53,Hotham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,54,Kooyong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,55,Macnamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,56,Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,57,Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,58,Wills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,59,Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,60,Gellibrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,61,Maribyrnong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,62,Aston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63,Deakin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,64,Menzies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,65,Calwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,66,Jagajaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,67,Scullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,68,Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,69,Dunkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,70,Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,71,Isaacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,72,Gorton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,73,Lalor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,74,La Trobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,75,Ballarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,76,Bendigo**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,77,Corangamite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,78,Corio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,79,Hawke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,80,Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,81,Flinders*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,82,Gippsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,83,Monash*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,84,Indi*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,85,McEwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,86,Nicholls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,87,Mallee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,88,Wannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,89,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,90,Lilley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,91,Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,92,Moreton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,93,Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,94,Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,95,Dickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,96,Petrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,97,Fadden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,98,Forde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,99,Oxley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,Rankin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,101,Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,102,Blair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,103,Capricornia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,104,Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,105,Hinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,106,Longman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,107,Groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,108,McPherson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,109,Moncrieff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,110,Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,111,Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,112,Leichhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,113,Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,114,Fairfax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,115,Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,116,Maranoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,117,Wide Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,118,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,119,Cowan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,120,Curtin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,121,Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,122,Fremantle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,123,Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,124,Tangney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,125,Bullwinkel**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,126,Hasluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,127,Pearce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,128,Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,129,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,130,Burt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,131,Canning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,132,Durack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,133,O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,134,Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,135,Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,136,Hindmarsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,137,Sturt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,138,Boothby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,139,Kingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,140,Makin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,141,Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,142,Barker*(**),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,143,Grey**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144,Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,145,Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,146,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,147,Bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,148,Braddon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,149,Lyons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,150,Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,151,Canberra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,152,Fenner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,153,Solomon*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,154,Lingiari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
